operator,metric,n,mean,median,p25,p75,high_score_rate
B_arg_swap,bleu,42,0.6093,0.6205,0.5872,0.6675,0.0
B_arg_swap,bertscore,42,0.931,0.932,0.9195,0.94,1.0
B_arg_swap,malls_le_raw,42,0.0,0.0,0.0,0.0,
B_arg_swap,malls_le_aligned,42,0.0,0.0,0.0,0.0,
B_arg_swap,brunello_lt_raw,42,0.0,0.0,0.0,0.0,
B_arg_swap,brunello_lt_aligned,42,0.0,0.0,0.0,0.0,
B_arg_swap,siv_soft_recall,42,0.0198,0.0,0.0,0.0,0.0
B_arg_swap,siv_soft_f1,41,0.0285,0.0,0.0,0.0,0.0
B_arg_swap,siv_soft_min_recall,42,0.0198,0.0,0.0,0.0,0.0
B_negation_drop,bleu,23,0.7653,0.754,0.7078,0.8296,0.3478
B_negation_drop,bertscore,23,0.925,0.9243,0.9204,0.931,1.0
B_negation_drop,malls_le_raw,23,0.0,0.0,0.0,0.0,
B_negation_drop,malls_le_aligned,23,0.0,0.0,0.0,0.0,
B_negation_drop,brunello_lt_raw,23,0.0,0.0,0.0,0.0,
B_negation_drop,brunello_lt_aligned,23,0.0,0.0,0.0,0.0,
B_negation_drop,siv_soft_recall,23,0.3623,0.0,0.0,1.0,0.3478
B_negation_drop,siv_soft_f1,22,0.3818,0.0,0.0,1.0,0.3636
B_negation_drop,siv_soft_min_recall,23,0.3623,0.0,0.0,1.0,0.3478
B_scope_flip,bleu,1,0.7508,0.7508,0.7508,0.7508,0.0
B_scope_flip,bertscore,1,0.9178,0.9178,0.9178,0.9178,1.0
B_scope_flip,malls_le_raw,1,0.0,0.0,0.0,0.0,
B_scope_flip,malls_le_aligned,1,0.0,0.0,0.0,0.0,
B_scope_flip,brunello_lt_raw,1,0.0,0.0,0.0,0.0,
B_scope_flip,brunello_lt_aligned,1,0.0,0.0,0.0,0.0,
B_scope_flip,siv_soft_recall,1,1.0,1.0,1.0,1.0,1.0
B_scope_flip,siv_soft_f1,1,1.0,1.0,1.0,1.0,1.0
B_scope_flip,siv_soft_min_recall,1,1.0,1.0,1.0,1.0,1.0
B_restrictor_drop,bleu,30,0.5735,0.5884,0.5054,0.6239,0.0
B_restrictor_drop,bertscore,30,0.9225,0.9211,0.9165,0.9326,1.0
B_restrictor_drop,malls_le_raw,30,0.0,0.0,0.0,0.0,
B_restrictor_drop,malls_le_aligned,30,0.0,0.0,0.0,0.0,
B_restrictor_drop,brunello_lt_raw,30,0.0,0.0,0.0,0.0,
B_restrictor_drop,brunello_lt_aligned,30,0.0,0.0,0.0,0.0,
B_restrictor_drop,siv_soft_recall,30,0.8333,1.0,1.0,1.0,0.8333
B_restrictor_drop,siv_soft_f1,30,0.8333,1.0,1.0,1.0,0.8333
B_restrictor_drop,siv_soft_min_recall,30,0.8333,1.0,1.0,1.0,0.8333
D_random,bleu,46,0.5003,0.5163,0.4139,0.5657,0.0
D_random,bertscore,46,0.8741,0.8776,0.8633,0.8836,1.0
D_random,malls_le_raw,46,0.0,0.0,0.0,0.0,
D_random,malls_le_aligned,46,0.0,0.0,0.0,0.0,
D_random,brunello_lt_raw,46,0.0,0.0,0.0,0.0,
D_random,brunello_lt_aligned,46,0.0,0.0,0.0,0.0,
D_random,siv_soft_recall,46,0.0109,0.0,0.0,0.0,0.0
D_random,siv_soft_f1,45,0.0148,0.0,0.0,0.0,0.0
D_random,siv_soft_min_recall,46,0.0109,0.0,0.0,0.0,0.0
