metric,auc_roc,rpb,rpb_ci_lower,rpb_ci_upper,p_vs_siv_min_recall
bleu_mean,0.5793,0.1447,0.1016,0.1873,0.984
bleu_min,0.54,0.1244,0.077,0.1686,0.265
bertscore_mean,0.5741,0.1203,0.0739,0.1641,0.943
bertscore_min,0.5459,0.0839,0.0406,0.1264,0.442
malls_le_raw_mean,0.5811,0.1705,0.1285,0.2136,0.997
malls_le_aligned_mean,0.5733,0.1374,0.093,0.1805,0.966
brunello_lt_raw_mean,0.5732,0.1565,0.1145,0.1985,0.977
brunello_lt_aligned_mean,0.5716,0.1338,0.0909,0.1746,0.951
siv_mean_recall,0.5755,0.1265,0.0819,0.1705,0.996
siv_min_recall,0.5492,0.1177,0.073,0.1596,---
siv_mean_f1,0.5682,0.11,0.0653,0.1554,0.971
siv_min_f1,0.5479,0.1104,0.0658,0.1547,0.376
